Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
3. Marienkind .,"Nacht, Maria",2,2
3. Marienkind .,"Maria, Türe",2,2
3. Marienkind .,"Kind, Türe",2,4
3. Marienkind .,"Welt, Jahr",2,7
3. Marienkind .,"Jungfrau, Jahr",2,4
3. Marienkind .,"König, Schloß",2,36
3. Marienkind .,"Königin, Himmel",2,3
3. Marienkind .,"Jungfrau, Töchterlein",2,2
3. Marienkind .,"Jahr, Sohn",2,11
3. Marienkind .,"König, Königin",2,45
3. Marienkind .,"Kind, Leute",2,6
3. Marienkind .,"Morgen, König",2,20
3. Marienkind .,"Nacht, Himmel",2,2
3. Marienkind .,"Himmel, Töchterlein",2,3
3. Marienkind .,"Maria, Holz",2,2
3. Marienkind .,"Mädchen, Kind",2,17
3. Marienkind .,"Tür, Nacht",2,4
3. Marienkind .,"Mädchen, Jahr",2,8
3. Marienkind .,"Jungfrau, Nacht",2,2
3. Marienkind .,"König, Pferd",2,11
3. Marienkind .,"Wald, Frau",2,22
3. Marienkind .,"Nacht, Kind",2,8
3. Marienkind .,"Jungfrau, Holz",2,2
3. Marienkind .,"Leben, Glück",1,1
3. Marienkind .,"Mädchen, Feuer",1,2
3. Marienkind .,"Frau, Maria",1,1
3. Marienkind .,"Feuer, Türe",1,1
3. Marienkind .,"Stimme, Licht",1,1
3. Marienkind .,"Licht, Töchterlein",1,1
3. Marienkind .,"Frau, Jahr",1,11
3. Marienkind .,"Jungfrau, Mund",1,1
3. Marienkind .,"Wald, Pferd",1,6
3. Marienkind .,"Maria, Tod",1,1
3. Marienkind .,"Gold, Finger",1,3
3. Marienkind .,"Feuer, Töchterlein",1,1
3. Marienkind .,"Bett, Kind",1,9
3. Marienkind .,"Erde, Tür",1,1
3. Marienkind .,"Pferd, Kleid",1,2
3. Marienkind .,"Arbeit, Frau",1,3
3. Marienkind .,"Feuer, Tür",1,1
3. Marienkind .,"Bett, Mund",1,1
3. Marienkind .,"König, Land",1,14
3. Marienkind .,"Engel, Nacht",1,1
3. Marienkind .,"Sprache, Nacht",1,3
3. Marienkind .,"König, Kleid",1,10
3. Marienkind .,"Nacht, Mund",1,2
3. Marienkind .,"Frau, Jungfrau",1,6
3. Marienkind .,"Tür, Tod",1,1
3. Marienkind .,"Mädchen, Türe",1,5
3. Marienkind .,"Arbeit, Jungfrau",1,1
3. Marienkind .,"Feuer, Jungfrau",1,2
3. Marienkind .,"Mutter, Holz",1,5
3. Marienkind .,"Herz, Töchterlein",1,1
3. Marienkind .,"Tür, Töchterlein",1,1
3. Marienkind .,"Arbeit, Mutter",1,1
3. Marienkind .,"Hand, Jahr",1,2
3. Marienkind .,"Schloß, Kopf",1,4
3. Marienkind .,"Bett, Nacht",1,8
3. Marienkind .,"Weg, Baum",1,5
3. Marienkind .,"Sprache, Maria",1,1
3. Marienkind .,"Jungfrau, Bett",1,2
3. Marienkind .,"Jahr, Tag",1,9
3. Marienkind .,"Wald, Holz",1,10
