Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
34. Die kluge Else .,"Weiblich, Orte",2,65
34. Die kluge Else .,"Gewerbebezeichnung, Beziehung",2,37
34. Die kluge Else .,"Gewerbebezeichnung, Verschiedenes",2,12
34. Die kluge Else .,"Weiblich, Verschiedenes",2,35
34. Die kluge Else .,"Beziehung, Körperteil",1,53
34. Die kluge Else .,"Weiblich, Wertgegenstände",1,20
34. Die kluge Else .,"Körperteil, Verschiedenes",1,23
34. Die kluge Else .,"Wertgegenstände, Orte",1,15
34. Die kluge Else .,"Orte, Beziehung",1,82
34. Die kluge Else .,"Weiblich, Gewerbebezeichnung",1,21
34. Die kluge Else .,"Orte, Verschiedenes",1,33
35. Der Schneider im Himmel .,"Männlich, Weiblich",1,33
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Gewerbebezeichnung, Beziehung",8,37
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Beziehung",8,185
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Gewerbebezeichnung",5,36
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Verschiedenes",3,32
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Wertgegenstände",2,32
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Gewerbebezeichnung, Körperteil",2,19
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Gewerbebezeichnung, Wertgegenstände",2,9
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Nahrung, Körperteil",2,6
