tales	similarity (overlap of top 10 nouns)	nouns
91. Dat Erdmänneken ., 126. Ferenand getrü und Ferenand ungetrü .	3	 König,  He, De
92. Der König vom goldenen Berg ., 97. Das Wasser des Lebens .	3	 Sohn,  Wasser,  König
93. Die Rabe ., 164. Der faule Heinz .	3	 Tag,  Haus,  Frau
93. Die Rabe ., 191. Das Meerhäschen .	3	 Tag,  Rabe,  Schloß
93. Die Rabe ., full corpus	3	 Tag,  Haus,  Frau
96. De drei Vügelkens ., 102. Der Zaunkönig und der Bär .	3	 Frau,  Königin,  König
96. De drei Vügelkens ., 126. Ferenand getrü und Ferenand ungetrü .	3	 König,  Eine, De
96. De drei Vügelkens ., 143. Up Reisen gohn .	3	 Up,  Junge, De
96. De drei Vügelkens ., 196. Oll Rinkrank .	3	 König,  Eine, De
97. Das Wasser des Lebens ., 111. Der gelernte Jäger .	3	 König,  Vater,  Jäger
97. Das Wasser des Lebens ., 124. Die drei Brüder .	3	 Sohn,  Bruder,  Vater
101. Der Bärenhäuter ., 120. Die drei Handwerksburschen .	3	 Geld,  Mann,  Teufel
101. Der Bärenhäuter ., 125. Der Teufel und seine Großmutter .	3	 Jahr,  Geld,  Soldat
104. Die klugen Leute ., 185. Der arme Junge im Grab .	3	 Tag,  Bauer,  Mann
107. Die beiden Wanderer ., 177. Die Boten des Todes .	3	 Tag,  Weg,  Auge
107. Die beiden Wanderer ., 179. Die Gänsehirtin am Brunnen .	3	 Rücken,  König,  Auge
111. Der gelernte Jäger ., 129. Die vier kunstreichen Brüder .	3	 Königstochter,  Vater,  Jäger
113. De beiden Künigeskinner ., 187. Der Hase und der Jgel .	3	 Up,  He, De
121. Der Königssohn der sich vor nichts fürchtet ., 134. Die sechs Diener .	3	Königssohn,  Jungfrau,  Auge
123. Die Alte im Wald ., 186. Die wahre Braut .	3	 Alte,  Tag,  Hand
123. Die Alte im Wald ., 193. Der Trommler .	3	 Alte,  Wald,  Mädchen
123. Die Alte im Wald ., full corpus	3	 Tag,  Wald,  Mädchen
144. Das Eselein ., 151. Die drei Faulen .	3	König,  Tod,  Reich
145. Der undankbare Sohn ., 157. Der Sperling und seine vier Kinder .	3	 Alte, Sohn,  Vater
145. Der undankbare Sohn ., full corpus	3	 Frau,  Mann,  Vater
154. Der gestohlene Heller ., full corpus	3	 Tag,  Frau,  Vater
160. Räthselmärchen ., 164. Der faule Heinz .	3	 Tag,  Haus,  Frau
161. Schneeweißchen und Rosenroth ., full corpus	3	 Wald,  Mädchen,  Kind
164. Der faule Heinz ., full corpus	3	 Tag,  Haus,  Frau
171. Der Zaunkönig ., 174. Die Eule .	3	 Herr,  Auge,  Eule
171. Der Zaunkönig ., 176. Die Lebenszeit .	3	 Zeit,  Herr,  Gott
176. Die Lebenszeit ., 194. Die Kornähre .	3	 Mensch,  Herr,  Gott
186. Die wahre Braut ., 188. Spindel , Weberschiffchen und Nadel .	3	Mädchen,  Arbeit,  Hand
186. Die wahre Braut ., 193. Der Trommler .	3	 Alte,  Arbeit,  Abend
186. Die wahre Braut ., 199. Der Stiefel von Büffelleder .	3	 Alte,  Tag,  Hand
187. Der Hase und der Jgel ., 196. Oll Rinkrank .	3	 To,  He, De
