Characters,CharacterFrequency
"Jäger, Drachen",4
"Drachen, Tochter",4
"Erde, Jäger",4
"Tier, Drachen",4
"Löwe, Jungfrau",4
"Tier, Königstochter",4
"Hase, Herr",4
"Kopf, Herr",4
"Brot, Hase",4
"Koch, Türe",4
"Schloß, Herr",4
"Rabe, Müller",4
"Schultheiß, Faß",4
"Vater, Dümmling",4
"Dümmling, Feder",4
"Wasser, Dümmling",4
"Schloß, Türe",4
"Vater, Kammer",4
"Bett, Herr",4
"Leben, Baum",4
"Gold, Vogel",4
"Gold, Tier",4
"Vogel, König",4
"König, Tisch",4
"Schiff, Land",4
"Königstochter, Land",4
"Mädchen, Brunnen",4
"Mädchen, Freude",4
"Gold, Herr",4
"Herz, Gemahlin",4
"Sprache, Königstochter",4
"Gold, Stein",4
"König, Stein",4
"Sprache, Schloß",4
"Rabe, Herr",4
"Leben, Herr",4
"Johannes, Stein",4
"Tier, Schloß",4
"Königin, Johannes",4
"Vater, Hand",4
"Vater, Kopf",4
"Welt, Hand",4
"Hand, Stein",4
"Hund, Tag",4
"Bauer, Haus",4
"Bauer, Herr",4
"Rock, Jude",4
"König, Glückskind",4
"Geld, Jude",4
"König, Taler",4
"Geld, Glück",4
"Bauer, Mann",4
"König, Mund",4
"Zeit, Weile",4
"Zeit, Baum",4
"Wald, Stück",4
"Mensch, Herz",4
"Mutter, Sohn",4
"Mädchen, Sohn",4
"Mutter, Schloß",4
"Schloß, Baum",4
"Reihe, Tag",4
"Bruder, Tod",4
"Gott, Herz",4
"Gott, Sprache",4
"Bruder, Sprache",4
"Bruder, Kind",4
"Bruder, Himmel",4
"Bruder, Nacht",4
"Mädchen, Kleid",4
"Rabe, Bruder",4
"Wald, Alte",4
"Frau, Alte",4
"Zeit, Abend",4
"Ente, Wagen",4
"Stecknadel, Nähnadel",4
"Ente, Ei",4
"Abend, Gast",4
"Schwesterchen, Hand",4
"Hand, Tag",4
"Wald, Feld",4
"Wald, Stein",4
"Weg, Feld",4
"Kind, Stiefmutter",4
"Wald, Jagd",4
"Morgen, Türe",4
"König, Abend",4
"Mädchen, Zeit",4
"Frau, Pferd",4
"Zeit, Schloß",4
"Welt, Tier",4
"Welt, Jäger",4
"Tier, Kind",4
"Welt, Auge",4
"Welt, Glück",4
"König, Stube",4
"Hand, Auge",4
"Zeit, Nacht",4
"Zeit, Auge",4
"Königin, Glück",4
